solar_data,solar_hashes,dump_data,dump_hashes
A3034KR4301HA26280080023700000174009313924001900024300181002360002621700029070790ÿ,2013-09-27 09:31:39.265622,A3034KR4301HA26280080023700000174009313924001900024300181002360002621700029070790ÿ,2013-09-27 09:31:39.258132
A3034KR4301HA26280080024100000014009292351001900024300181002400002505900027693595ÿ,2013-09-27 09:29:23.540623,A3034KR4301HA26280080024100000014009292351001900024300181002400002505900027693595ÿ,2013-09-27 09:29:23.534487
A3034KR4301HA26280080022100000074009235097001900023900181002220001986500021840880ÿ,2013-09-27 09:23:51.009652,A3034KR4301HA26280080022100000074009235097001900023900181002220001986500021840880ÿ,2013-09-27 09:23:51.005928
A3034KR4301HA26280080023900000014009283444001900024200181002400002415500026613705ÿ,2013-09-27 09:28:34.473746,A3034KR4301HA26280080023900000014009283444001900024200181002400002415500026613705ÿ,2013-09-27 09:28:34.467545
A3034KR4301HA26280080023900000094009283218001900024000181002400002397800026401655ÿ,2013-09-27 09:28:32.231746,A3034KR4301HA26280080023900000094009283218001900024000181002400002397800026401655ÿ,2013-09-27 09:28:32.225188
A3034KR4301HA26280080023700000024009312839001900024300181002380002603000028850185ÿ,2013-09-27 09:31:28.430624,A3034KR4301HA26280080023700000024009312839001900024300181002380002603000028850185ÿ,2013-09-27 09:31:28.424831
A3034KR4301HA26280080023500000034009283005001900023900181002340002386300026264890ÿ,2013-09-27 09:28:30.077744,A3034KR4301HA26280080023500000034009283005001900023900181002340002386300026264890ÿ,2013-09-27 09:28:30.068647
A3034KR4301HA26280080022200000014009234679001900023900181002230001966200021616965ÿ,2013-09-27 09:23:46.844659,A3034KR4301HA26280080022200000014009234679001900023900181002230001966200021616965ÿ,2013-09-27 09:23:46.842480
A3034KR4301HA26280080023900000044009305624001900024300181002380002590000028694470ÿ,2013-09-27 09:30:56.287621,A3034KR4301HA26280080023900000044009305624001900024300181002380002590000028694470ÿ,2013-09-27 09:30:56.278838
A3034KR4301HA26280080023400000014009282758001900023900181002350002377000026155740ÿ,2013-09-27 09:28:27.605746,A3034KR4301HA26280080023400000014009282758001900023900181002350002377000026155740ÿ,2013-09-27 09:28:27.603538
A3034KR4301HA26280080022300000014009234588001900023900181002240001963900021591425ÿ,2013-09-27 09:23:45.921654,A3034KR4301HA26280080022300000014009234588001900023900181002240001963900021591425ÿ,2013-09-27 09:23:45.910887
A3034KR4301HA26280080023800000024009290294001900024200181002390002470800027271350ÿ,2013-09-27 09:29:02.968621,A3034KR4301HA26280080023800000024009290294001900024200181002390002470800027271350ÿ,2013-09-27 09:29:02.965778
A3034KR4301HA26280080024100000014009283326001900024100181002390002410000026547880ÿ,2013-09-27 09:28:33.308752,A3034KR4301HA26280080024100000014009283326001900024100181002390002410000026547880ÿ,2013-09-27 09:28:33.308244
A3034KR4301HA26280080021900000024009235826001900023900181002180002004300022035365ÿ,2013-09-27 09:23:58.284651,A3034KR4301HA26280080021900000024009235826001900023900181002180002004300022035365ÿ,2013-09-27 09:23:58.275699
A3034KR4301HA26280080022100000064009265454001900023900181002200002215500024306165ÿ,2013-09-27 09:26:54.565719,A3034KR4301HA26280080022100000064009265454001900023900181002200002215500024306165ÿ,2013-09-27 09:26:54.563193
A3034KR4301HA26280080021300000034009253116001900023900181002120002133400023408140ÿ,2013-09-27 09:25:31.192720,A3034KR4301HA26280080021300000034009253116001900023900181002120002133400023408140ÿ,2013-09-27 09:25:31.183307
